col_name,coef,coef_abs,std,coef/std
Sex_male,-1.143700360834416,1.143700360834416,,-1.143700360834416
Sex_female,1.137385083396619,1.137385083396619,,1.137385083396619
Pclass_3,-0.8265035746688788,0.8265035746688788,,-0.8265035746688788
Pclass_1,0.6652832124678253,0.6652832124678253,,0.6652832124678253
Age,-0.41565385331245225,0.41565385331245225,13.01998499266412,-0.03192429588410778
SibSp,-0.3779698747057822,0.3779698747057822,1.162890598812743,-0.3250261676306196
Embarked_S,-0.26296864756515703,0.26296864756515703,,-0.26296864756515703
Fare,0.15791619090324027,0.15791619090324027,48.257658284816124,0.0032723550316349956
Embarked_C,0.14869706687488762,0.14869706687488762,,0.14869706687488762
Pclass_2,0.0793758623997167,0.0793758623997167,,0.0793758623997167
Parch,-0.06507306208077049,0.06507306208077049,0.8320853644229697,-0.0782047910744074
Embarked_Q,0.018665303030552305,0.018665303030552305,,0.018665303030552305
